12. 16ms, 0.015599966049194336 unix
13. 0ms, 0.0 unix
14. 16ms, 0.015600204467773438 unix
15. 16ms, 0.015599727630615234 unix
16. 0ms, 0.0 unix
17. 16ms, 0.015600204467773438 unix
18. 16ms, 0.015600204467773438 unix
19. 16ms, 0.015599727630615234 unix
20. 0ms, 0.0 unix
SENT 1327758.0 B
1. 16ms, 0.015599966049194336 unix
2. 16ms, 0.015599966049194336 unix
3. 16ms, 0.015600204467773438 unix
4. 16ms, 0.015599966049194336 unix
5. 16ms, 0.015599966049194336 unix
6. 16ms, 0.015599966049194336 unix
7. 34ms, 0.03360104560852051 unix
8. 16ms, 0.016000986099243164 unix
9. 16ms, 0.016000986099243164 unix
10. 16ms, 0.016000986099243164 unix
11. 16ms, 0.015599727630615234 unix
12. 16ms, 0.015600204467773438 unix
13. 16ms, 0.015599966049194336 unix
14. 16ms, 0.015599966049194336 unix
15. 16ms, 0.015600204467773438 unix
16. 16ms, 0.015599966049194336 unix
17. 16ms, 0.015599966049194336 unix
18. 16ms, 0.015600204467773438 unix
19. 22ms, 0.02160024642944336 unix
20. 16ms, 0.015600204467773438 unix
